"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 05일","27,678.0","27,644.0","27,773.0","27,558.0","164.78K","0.13%"
"2019년 12월 04일","27,643.0","27,478.0","27,727.0","27,397.0","182.07K","0.57%"
"2019년 12월 03일","27,487.0","27,788.0","27,847.0","27,312.0","260.95K","-1.09%"
"2019년 12월 02일","27,789.0","28,082.0","28,197.0","27,772.0","226.06K","-1.01%"
"2019년 11월 29일","28,073.0","28,150.0","28,158.0","28,042.0","100.09K","-0.15%"
"2019년 11월 28일","28,116.5","28,075.5","28,121.0","28,045.0","-","-0.11%"
"2019년 11월 27일","28,148.0","28,122.0","28,173.0","28,058.0","99.87K","0.06%"
"2019년 11월 26일","28,130.0","28,025.0","28,149.0","27,999.0","118.72K","0.32%"
"2019년 11월 25일","28,039.0","27,927.0","28,045.0","27,904.0","96.94K","0.64%"
"2019년 11월 22일","27,862.0","27,754.0","27,884.0","27,722.0","128.36K","0.41%"
"2019년 11월 21일","27,748.0","27,726.0","27,846.0","27,654.0","163.14K","-0.19%"
"2019년 11월 20일","27,800.0","27,884.0","27,884.0","27,643.0","189.29K","-0.34%"
"2019년 11월 19일","27,895.0","28,013.0","28,128.0","27,851.0","151.39K","-0.40%"
"2019년 11월 18일","28,008.0","27,960.0","28,059.0","27,926.0","127.72K","0.20%"
"2019년 11월 15일","27,953.0","27,750.0","27,971.0","27,736.0","136.56K","0.75%"
"2019년 11월 14일","27,746.0","27,772.0","27,806.0","27,633.0","143.72K","-0.05%"
"2019년 11월 13일","27,761.0","27,661.0","27,771.0","27,524.0","160.99K","0.35%"
"2019년 11월 12일","27,663.0","27,658.0","27,732.0","27,597.0","134.41K","0.02%"
"2019년 11월 11일","27,658.0","27,645.0","27,673.0","27,470.0","123.44K","0.10%"
"2019년 11월 08일","27,631.0","27,672.0","27,717.0","27,541.0","125.90K","-0.13%"
"2019년 11월 07일","27,667.0","27,454.0","27,739.0","27,390.0","159.36K","0.86%"
"2019년 11월 06일","27,430.0","27,420.0","27,470.0","27,337.0","129.30K","0.03%"
"2019년 11월 05일","27,421.0","27,402.0","27,493.0","27,366.0","126.86K","0.15%"
"2019년 11월 04일","27,380.0","27,278.0","27,450.0","27,274.0","135.06K","0.44%"
"2019년 11월 01일","27,259.0","26,992.0","27,278.0","26,959.0","156.76K","1.03%"
"2019년 10월 31일","26,982.0","27,172.0","27,180.0","26,847.0","197.54K","-0.55%"
"2019년 10월 30일","27,132.0","27,053.0","27,230.0","26,940.0","146.04K","0.33%"
"2019년 10월 29일","27,042.0","27,062.0","27,111.0","26,967.0","125.03K","-0.04%"
"2019년 10월 28일","27,053.0","26,931.0","27,120.0","26,926.0","137.58K","0.55%"
"2019년 10월 25일","26,904.0","26,776.0","26,967.0","26,710.0","129.49K","0.46%"
"2019년 10월 24일","26,780.0","26,819.0","26,872.0","26,655.0","152.06K","-0.08%"
"2019년 10월 23일","26,802.0","26,752.0","26,852.0","26,588.0","147.11K","0.15%"
"2019년 10월 22일","26,763.0","26,798.0","26,904.0","26,715.0","143.61K","-0.13%"
"2019년 10월 21일","26,797.0","26,725.0","26,837.0","26,701.0","112.07K","0.16%"
"2019년 10월 18일","26,754.0","26,995.0","27,023.0","26,726.0","149.07K","-0.89%"
"2019년 10월 17일","26,993.0","26,933.0","27,088.0","26,876.0","144.36K","0.20%"
"2019년 10월 16일","26,940.0","27,000.0","27,017.0","26,890.0","137.35K","-0.23%"
"2019년 10월 15일","27,002.0","26,751.0","27,079.0","26,750.0","153.08K","0.96%"
"2019년 10월 14일","26,746.0","26,761.0","26,894.0","26,637.0","123.16K","-0.11%"
"2019년 10월 11일","26,775.0","26,544.0","26,975.0","26,496.0","237.62K","1.10%"
"2019년 10월 10일","26,484.0","26,322.0","26,599.0","25,983.0","219.33K","0.68%"
"2019년 10월 09일","26,305.0","26,139.0","26,400.0","26,086.0","165.14K","0.64%"
"2019년 10월 08일","26,138.0","26,418.0","26,549.0","26,092.0","234.01K","-1.14%"
"2019년 10월 07일","26,439.0","26,372.0","26,615.0","26,339.0","155.86K","-0.32%"
"2019년 10월 04일","26,525.0","26,160.0","26,549.0","26,060.0","190.61K","1.32%"
"2019년 10월 03일","26,180.0","26,003.0","26,186.0","25,703.0","271.79K","0.75%"
"2019년 10월 02일","25,985.0","26,553.0","26,617.0","25,931.0","240.23K","-2.02%"
"2019년 10월 01일","26,521.0","26,961.0","27,040.0","26,515.0","204.74K","-1.41%"
"2019년 09월 30일","26,901.0","26,898.0","26,971.0","26,804.0","131.80K","0.39%"
"2019년 09월 27일","26,796.0","26,896.0","26,992.0","26,689.0","225.72K","-0.36%"
"2019년 09월 26일","26,892.0","26,962.0","27,042.0","26,782.0","184.04K","-0.24%"
"2019년 09월 25일","26,958.0","26,833.0","27,015.0","26,715.0","199.41K","0.52%"
"2019년 09월 24일","26,818.0","27,006.0","27,112.0","26,686.0","240.01K","-0.54%"
