"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 03일","8,251.25","8,313.75","8,337.50","8,168.25","614.32K","-0.78%"
"2019년 12월 02일","8,316.00","8,424.50","8,457.25","8,276.50","559.47K","-1.21%"
"2019년 11월 29일","8,417.50","8,456.75","8,458.25","8,406.50","242.60K","-0.38%"
"2019년 11월 28일","8,449.38","8,425.62","8,449.62","8,416.00","-","-0.06%"
"2019년 11월 27일","8,454.75","8,402.75","8,458.75","8,397.00","240.87K","0.64%"
"2019년 11월 26일","8,400.75","8,374.25","8,422.00","8,366.25","285.73K","0.29%"
"2019년 11월 25일","8,376.50","8,303.25","8,379.25","8,296.50","259.49K","1.16%"
"2019년 11월 22일","8,280.50","8,280.25","8,313.50","8,233.25","344.50K","0.07%"
"2019년 11월 21일","8,274.50","8,261.50","8,308.00","8,240.00","411.83K","-0.21%"
"2019년 11월 20일","8,291.75","8,333.00","8,348.00","8,231.00","526.98K","-0.60%"
"2019년 11월 19일","8,341.50","8,335.00","8,379.00","8,312.50","373.94K","0.10%"
"2019년 11월 18일","8,333.50","8,318.75","8,367.00","8,279.25","370.61K","0.18%"
"2019년 11월 15일","8,318.75","8,267.50","8,324.00","8,261.25","367.15K","0.64%"
"2019년 11월 14일","8,265.50","8,269.00","8,285.50","8,216.25","381.59K","-0.00%"
"2019년 11월 13일","8,265.75","8,273.00","8,281.50","8,220.00","382.04K","-0.11%"
"2019년 11월 12일","8,275.00","8,253.25","8,300.25","8,228.50","316.73K","0.31%"
"2019년 11월 11일","8,249.75","8,257.25","8,261.75","8,206.50","229.84K","-0.09%"
"2019년 11월 08일","8,257.25","8,230.00","8,264.25","8,190.00","326.87K","0.33%"
"2019년 11월 07일","8,230.50","8,213.75","8,282.25","8,190.00","366.40K","0.28%"
"2019년 11월 06일","8,207.25","8,208.00","8,228.25","8,161.00","314.41K","-0.04%"
"2019년 11월 05일","8,210.75","8,221.50","8,248.00","8,193.25","305.80K","-0.06%"
"2019년 11월 04일","8,215.75","8,165.00","8,233.75","8,164.00","325.48K","0.68%"
"2019년 11월 01일","8,160.25","8,094.25","8,168.00","8,084.50","348.33K","0.87%"
"2019년 10월 31일","8,090.25","8,128.50","8,139.00","8,046.00","448.46K","-0.26%"
